file_path,filename,device_family,device_id,state,distance_label,probe_id,channel_mode,sample_rate_hz,label_device,label_family,label_state,label_coarse,td_ch1_mean,td_ch1_std,td_ch1_rms,td_ch1_variance,td_ch1_peak_to_peak,td_ch1_energy,td_ch1_skewness,td_ch1_kurtosis,td_ch1_zero_crossing_rate,td_ch1_num_peaks,td_ch1_crest_factor,td_ch1_iqr,fd_ch1_dominant_freq_hz,fd_ch1_dominant_freq_norm,fd_ch1_spectral_centroid_hz,fd_ch1_spectral_centroid_norm,fd_ch1_spectral_spread_hz,fd_ch1_spectral_entropy,fd_ch1_band_energy_abs_low,fd_ch1_band_energy_abs_mid,fd_ch1_band_energy_abs_high,fd_ch1_band_energy_rel_low,fd_ch1_band_energy_rel_high,td_ch2_mean,td_ch2_std,td_ch2_rms,td_ch2_variance,td_ch2_peak_to_peak,td_ch2_energy,td_ch2_skewness,td_ch2_kurtosis,td_ch2_zero_crossing_rate,td_ch2_num_peaks,td_ch2_crest_factor,td_ch2_iqr,fd_ch2_dominant_freq_hz,fd_ch2_dominant_freq_norm,fd_ch2_spectral_centroid_hz,fd_ch2_spectral_centroid_norm,fd_ch2_spectral_spread_hz,fd_ch2_spectral_entropy,fd_ch2_band_energy_abs_low,fd_ch2_band_energy_abs_mid,fd_ch2_band_energy_abs_high,fd_ch2_band_energy_rel_low,fd_ch2_band_energy_rel_high,xc_rms_ratio,xc_energy_ratio,xc_correlation,xc_dom_freq_diff_hz,xc_centroid_diff_hz,primary_channel,td_pri_mean,td_pri_std,td_pri_rms,td_pri_variance,td_pri_peak_to_peak,td_pri_energy,td_pri_skewness,td_pri_kurtosis,td_pri_zero_crossing_rate,td_pri_num_peaks,td_pri_crest_factor,td_pri_iqr,fd_pri_dominant_freq_hz,fd_pri_dominant_freq_norm,fd_pri_spectral_centroid_hz,fd_pri_spectral_centroid_norm,fd_pri_spectral_spread_hz,fd_pri_spectral_entropy,fd_pri_band_energy_abs_low,fd_pri_band_energy_abs_mid,fd_pri_band_energy_abs_high,fd_pri_band_energy_rel_low,fd_pri_band_energy_rel_high
Motor_Data/MOTOR_1_ON/time domain/NewFile19.csv,NewFile19.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.002388333333333333,0.050203378344711246,0.05026015651918857,0.002520379197222222,0.51,0.0025260833333333333,1.4059893324082309,11.673534779783145,0.6225,51.0,5.966766117977537,0.5211560815027404,4849.999999999999,0.48499999999999993,4658.600252303071,0.4658600252303071,2223.333303679423,5.690866232530325,15778.053896443706,58500.33715820706,645721.7670877683,74278.39105465077,404239.0914103752,,,,,,ch2,0.002388333333333333,0.050203378344711246,0.05026015651918857,0.002520379197222222,0.51,0.0025260833333333333,1.4059893324082309,11.673534779783145,0.6225,51,5.966766117977537,0.5211560815027404,4849.999999999999,0.48499999999999993,4658.600252303071,0.4658600252303071,2223.333303679423,5.690866232530325,15778.053896443706,58500.33715820706,645721.7670877683,74278.39105465077,404239.0914103752
Motor_Data/MOTOR_1_ON/time domain/NewFile2.csv,NewFile2.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.00206,0.04246421709314011,0.0425141545056859,0.001803209733333333,0.51,0.001807453333333333,2.599035390643678,19.21631240888065,0.5983333333333334,41.0,7.167075120807197,0.5509715469709613,7183.333333333332,0.7183333333333332,4724.910958110474,0.4724910958110474,2200.6983014730217,5.692733358245549,13566.352607238821,55057.41834521515,651376.3406336678,68623.77095245398,417703.2760175231,,,,,,ch2,0.00206,0.04246421709314011,0.0425141545056859,0.001803209733333333,0.51,0.001807453333333333,2.599035390643678,19.21631240888065,0.5983333333333334,41,7.167075120807197,0.5509715469709613,7183.333333333332,0.7183333333333332,4724.910958110474,0.4724910958110474,2200.6983014730217,5.692733358245549,13566.352607238821,55057.41834521515,651376.3406336678,68623.77095245398,417703.2760175231
Motor_Data/MOTOR_1_ON/time domain/NewFile20.csv,NewFile20.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.00127,0.05189431985615895,0.051909857766452544,0.002693020433333333,0.51,0.0026946333333333333,0.8127639891809544,11.286849565970932,0.6266666666666667,59.0,6.344384545092347,0.5305995799730716,6599.999999999999,0.6599999999999999,4855.541128076822,0.48555411280768224,2410.5669421934076,5.669945886089453,15422.49826618661,52545.47951182563,652069.1349907346,67967.97777801222,415919.65074630844,,,,,,ch2,0.00127,0.05189431985615895,0.051909857766452544,0.002693020433333333,0.51,0.0026946333333333333,0.8127639891809544,11.286849565970932,0.6266666666666667,59,6.344384545092347,0.5305995799730716,6599.999999999999,0.6599999999999999,4855.541128076822,0.48555411280768224,2410.5669421934076,5.669945886089453,15422.49826618661,52545.47951182563,652069.1349907346,67967.97777801222,415919.65074630844
Motor_Data/MOTOR_1_ON/time domain/NewFile21.csv,NewFile21.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.002786666666666667,0.060379697102769754,0.060443968543878165,0.0036457078222222224,0.51,0.003653473333333333,1.2447260074431055,8.19185800522073,0.6308333333333334,62.0,5.79607143620207,0.5563247885468778,7349.999999999999,0.7349999999999999,4927.143554750698,0.4927143554750698,2357.248024608601,5.7013001465387045,13187.069727258006,47452.917541789306,659391.9987456161,60639.98726904731,429743.1828091453,,,,,,ch2,0.002786666666666667,0.060379697102769754,0.060443968543878165,0.0036457078222222224,0.51,0.003653473333333333,1.2447260074431055,8.19185800522073,0.6308333333333334,62,5.79607143620207,0.5563247885468778,7349.999999999999,0.7349999999999999,4927.143554750698,0.4927143554750698,2357.248024608601,5.7013001465387045,13187.069727258006,47452.917541789306,659391.9987456161,60639.98726904731,429743.1828091453
Motor_Data/MOTOR_1_ON/time domain/NewFile22.csv,NewFile22.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0025633333333333333,0.05740716554190387,0.05746436576986936,0.003295582655555555,0.51,0.003302153333333333,1.258221959886923,7.517755224851907,0.6125,72.0,5.449552368036056,0.6403708496599549,6599.999999999999,0.6599999999999999,4751.504942361694,0.4751504942361694,2247.9013092921023,5.613842633121459,11463.043900565124,49919.55246026556,658619.3335722117,61382.59636083067,418037.61791944434,,,,,,ch2,0.0025633333333333333,0.05740716554190387,0.05746436576986936,0.003295582655555555,0.51,0.003302153333333333,1.258221959886923,7.517755224851907,0.6125,72,5.449552368036056,0.6403708496599549,6599.999999999999,0.6599999999999999,4751.504942361694,0.4751504942361694,2247.9013092921023,5.613842633121459,11463.043900565124,49919.55246026556,658619.3335722117,61382.59636083067,418037.61791944434
Motor_Data/MOTOR_1_ON/time domain/NewFile23.csv,NewFile23.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0019800000000000004,0.05139947729954719,0.05143759973663882,0.002641906266666667,0.51,0.0026458266666666663,1.3489523589377208,10.147280208985721,0.5908333333333333,58.0,5.711007248951105,0.6295319345187966,5149.999999999999,0.5149999999999999,4628.715798613818,0.46287157986138183,2244.234375301127,5.6919717437461514,16933.93774659421,61298.936322771275,641768.0047692552,78232.87406936547,403469.190852301,,,,,,ch2,0.0019800000000000004,0.05139947729954719,0.05143759973663882,0.002641906266666667,0.51,0.0026458266666666663,1.3489523589377208,10.147280208985721,0.5908333333333333,58,5.711007248951105,0.6295319345187966,5149.999999999999,0.5149999999999999,4628.715798613818,0.46287157986138183,2244.234375301127,5.6919717437461514,16933.93774659421,61298.936322771275,641768.0047692552,78232.87406936547,403469.190852301
Motor_Data/MOTOR_1_ON/time domain/NewFile24.csv,NewFile24.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0036900000000000006,0.0516649839510927,0.05179658933430527,0.0026692705666666663,0.51,0.002682886666666666,1.8537771202723161,11.03922746640676,0.5791666666666667,50.0,5.740388652995442,0.576379264546732,5849.999999999999,0.585,4635.161491304298,0.46351614913042977,2236.9201121081564,5.576829835805859,14420.904370906308,63066.17849176696,642513.2520832572,77487.08286267327,394413.76562033006,,,,,,ch2,0.0036900000000000006,0.0516649839510927,0.05179658933430527,0.0026692705666666663,0.51,0.002682886666666666,1.8537771202723161,11.03922746640676,0.5791666666666667,50,5.740388652995442,0.576379264546732,5849.999999999999,0.585,4635.161491304298,0.46351614913042977,2236.9201121081564,5.576829835805859,14420.904370906308,63066.17849176696,642513.2520832572,77487.08286267327,394413.76562033006
Motor_Data/MOTOR_1_ON/time domain/NewFile25.csv,NewFile25.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.002921666666666667,0.054490065124040934,0.05456833636215542,0.002969167197222222,0.51,0.002977703333333333,1.4028507768253649,9.020011178458137,0.5866666666666667,59.0,5.481729551772122,0.5871038428557784,4899.999999999999,0.48999999999999994,4665.004672866477,0.46650046728664774,2208.701829128659,5.650699611344891,12721.723364638303,51259.074382909115,656019.2667324991,63980.797747547425,407225.6569737957,,,,,,ch2,0.002921666666666667,0.054490065124040934,0.05456833636215542,0.002969167197222222,0.51,0.002977703333333333,1.4028507768253649,9.020011178458137,0.5866666666666667,59,5.481729551772122,0.5871038428557784,4899.999999999999,0.48999999999999994,4665.004672866477,0.46650046728664774,2208.701829128659,5.650699611344891,12721.723364638303,51259.074382909115,656019.2667324991,63980.797747547425,407225.6569737957
Motor_Data/MOTOR_1_ON/time domain/NewFile26.csv,NewFile26.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0002483333333333335,0.04623456496196565,0.046235231876423706,0.002137634997222222,0.51,0.002137696666666667,1.2592024823152104,13.81215160780561,0.5883333333333334,49.0,6.414816749063539,0.5888984683341063,6049.999999999999,0.6049999999999999,4567.399305041332,0.4567399305041332,2254.8723788209813,5.638559717781627,16913.3684914763,63763.12612047826,639323.5451188406,80676.49461195455,397442.148224944,,,,,,ch2,0.0002483333333333335,0.04623456496196565,0.046235231876423706,0.002137634997222222,0.51,0.002137696666666667,1.2592024823152104,13.81215160780561,0.5883333333333334,49,6.414816749063539,0.5888984683341063,6049.999999999999,0.6049999999999999,4567.399305041332,0.4567399305041332,2254.8723788209813,5.638559717781627,16913.3684914763,63763.12612047826,639323.5451188406,80676.49461195455,397442.148224944
Motor_Data/MOTOR_1_ON/time domain/NewFile27.csv,NewFile27.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,-0.00023499999999999994,0.049597796742059684,0.04959835346729432,0.002459941441666666,0.51,0.0024599966666666666,1.1870706709769152,12.196932004582735,0.6125,55.0,6.121789147211236,0.5447251840481111,6333.333333333332,0.6333333333333332,4724.676589570022,0.4724676589570022,2266.6606062743244,5.703351569647234,20271.48493114275,51626.302633927,648103.8764233028,71897.78756506977,409340.37321750383,,,,,,ch2,-0.00023499999999999994,0.049597796742059684,0.04959835346729432,0.002459941441666666,0.51,0.0024599966666666666,1.1870706709769152,12.196932004582735,0.6125,55,6.121789147211236,0.5447251840481111,6333.333333333332,0.6333333333333332,4724.676589570022,0.4724676589570022,2266.6606062743244,5.703351569647234,20271.48493114275,51626.302633927,648103.8764233028,71897.78756506977,409340.37321750383
